催化剂组合编号,催化剂组合,温度,乙醇转化率,C4烯烃选择性,乙烯选择性,乙醛选择性,碳数为4-12脂肪醇选择性,甲基苯甲醛和甲基苯甲醇选择性,其他生成物的选择性,
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,250,2.07 ,34.05,1.17,2.41,52.59,0,9.78,
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,275,5.85 ,37.43,1.63,1.42,53.21,0,6.31,
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,300,14.97 ,46.94,3.02,4.71,35.16,1,9.17,
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,325,19.68 ,49.7,7.97,14.69,15.16,2.13,10.35,
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,350,36.80 ,47.21,12.46,18.66,9.22,1.69,10.76,
A2,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,250,4.60 ,18.07,0.61,0.94,72.99,0,7.39,
A2,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,275,17.20 ,17.28,0.51,1.43,72.62,0,8.16,
A2,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,300,38.92 ,19.6,0.85,2.21,67.5,0,9.84,
A2,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,325,56.38 ,30.62,1.43,3.79,51.21,0,12.95,
A2,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,350,67.88 ,39.1,2.76,4.2,36.92,1.87,15.15,
A3,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度0.9ml/min,250,9.7 ,5.5,0.13,1.23,85.09,3.97,4.08,
A3,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度0.9ml/min,275,19.2 ,8.04,0.33,1.71,82.07,2.88,4.97,
A3,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度0.9ml/min,300,29.3 ,17.01,0.71,3.63,66.9,3.18,8.57,
A3,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度0.9ml/min,325,37.6 ,28.72,1.83,5.72,49.77,3.44,10.52,
